Customer_names,Brand,Model,Engine_size,Fuel_type,Year_of_manufacture,Mileage,Price,purchase_place
Sneha Krishnan,Toyota,Harrier,1.4,Petrol,1989,124395,1811,Whitefield
Kavya Gupta,Honda,Creta,1.4,Petrol,1998,177950,2239,HSR Layout
Deepak Reddy,Hyundai,Seltos,1.4,Petrol,2006,101476,6689,Basavanagudi
Sneha Verma,Mahindra,Harrier,1,Hybrid,2016,54864,18186,Hebbal
Pooja Singh,Kia,Innova,1,Petrol,2005,72259,6496,Malleswaram
Divya Mishra,Tata,Harrier,1.2,Hybrid,1986,270674,460,Hebbal
Ananya Singh,Hyundai,Innova,1.6,Petrol,1998,124649,3121,Koramangala
Sneha Pillai,Toyota,Creta,1.4,Hybrid,2019,33130,38995,Yelahanka
Kavya Joshi,Honda,Creta,1.4,Petrol,2018,17273,26893,Rajajinagar
Deepak Joshi,Toyota,City,1.4,Petrol,2015,63601,16680,HSR Layout
Kavya Choudhary,Hyundai,City,1.8,Hybrid,1991,261961,1060,Hebbal
Ananya Dutta,Hyundai,Innova,1.8,Hybrid,1989,282914,798,Whitefield
Kiran Pillai,Toyota,Seltos,1.4,Diesel,1999,169561,3184,Indiranagar
Shalini Deshmukh,Maruti,Seltos,1.4,Diesel,2022,4825,46443,Hebbal
Arjun Deshmukh,Toyota,Baleno,1.2,Petrol,2003,169420,2554,Koramangala
Kavya Rao,Kia,Swift,1.6,Diesel,2001,107698,6434,Hebbal
Rohit Sharma,Kia,City,1.2,Petrol,2014,70743,11611,HSR Layout
Divya Dutta,Maruti,City,1.6,Diesel,1998,146262,3275,Malleswaram
Priya Choudhary,Toyota,Creta,1,Petrol,1995,133063,2133,HSR Layout
Kavya Reddy,Maruti,Creta,2,Diesel,1997,194622,2685,Koramangala
Ravi Reddy,Honda,City,4,Petrol,2019,31510,106291,Yelahanka
Deepak Choudhary,Mahindra,i20,1,Petrol,2009,113732,5442,Malleswaram
Pooja Iyer,Mahindra,Thar,1.6,Petrol,2014,47575,15564,HSR Layout
Pooja Krishnan,Honda,i20,2,Hybrid,1985,241796,1111,Whitefield
Meera Iyer,Maruti,Thar,1.6,Petrol,2012,76438,11291,Indiranagar
Ravi Krishnan,Mahindra,Swift,2,Petrol,2019,26056,32728,HSR Layout
Pooja Kumar,Kia,Seltos,1.6,Diesel,2012,75109,16748,Indiranagar
Divya Verma,Maruti,Harrier,1.6,Diesel,2010,70001,16028,Hebbal
Ravi Gupta,Kia,Thar,1,Diesel,2012,102621,10996,HSR Layout
Rohit Krishnan,Kia,Harrier,1.2,Petrol,1998,166273,1929,Indiranagar
Divya Singh,Kia,Swift,1,Petrol,1990,172032,958,HSR Layout
Divya Kumar,Honda,Harrier,3,Diesel,2016,23041,48350,Jayanagar
Deepak Gupta,Honda,i20,2,Diesel,2018,41331,34690,Malleswaram
Sanjay Patel,Tata,Creta,1.6,Petrol,2013,81174,13864,Rajajinagar
Suresh Reddy,Maruti,Thar,1.2,Petrol,2008,152191,5012,Koramangala
Ravi Bhatia,Kia,Thar,1,Hybrid,2005,96495,8555,Basavanagudi
Rohit Krishnan,Tata,Creta,1.2,Petrol,2017,59597,15260,Malleswaram
Suresh Reddy,Tata,Baleno,1.2,Petrol,2010,122293,5969,Rajajinagar
Neha Mehta,Toyota,Nexon,1.6,Diesel,2012,63105,19167,Rajajinagar
Ajay Menon,Hyundai,Seltos,2,Petrol,2010,61250,12223,Basavanagudi
Sneha Verma,Hyundai,Seltos,1.4,Petrol,2013,82331,12865,Jayanagar
Sneha Verma,Tata,City,1.4,Diesel,1994,119401,3616,Indiranagar
Ananya Choudhary,Tata,Thar,2,Petrol,2000,212087,2981,Hebbal
Ananya Bhatia,Maruti,Harrier,2,Diesel,1996,141931,3318,Whitefield
Priya Gupta,Maruti,Nexon,4,Petrol,1991,259212,2713,Whitefield
Arjun Nair,Kia,Seltos,1.2,Petrol,2003,10000,8024,Malleswaram
Rohit Verma,Honda,City,1.4,Diesel,1988,278173,487,Rajajinagar
Sanjay Dutta,Tata,Seltos,1,Petrol,1998,213131,1142,Yelahanka
Neha Deshmukh,Hyundai,Nexon,1.8,Hybrid,2004,201330,4585,Malleswaram
Arjun Menon,Kia,City,1.8,Hybrid,1998,122961,5902,HSR Layout
Divya Dutta,Maruti,Swift,1.4,Diesel,1991,115379,2889,HSR Layout
Arjun Kumar,Tata,Nexon,1.6,Petrol,2022,8959,48900,Jayanagar
Suresh Menon,Mahindra,i20,1.8,Diesel,2005,106379,8915,Rajajinagar
Aishwarya Iyer,Hyundai,Baleno,1.8,Petrol,1993,213123,1577,Koramangala
Sneha Rao,Toyota,Creta,1.6,Hybrid,2001,186462,3847,Whitefield
Ajay Reddy,Tata,Innova,2.2,Hybrid,1995,228737,2558,Whitefield
Vivek Pillai,Mahindra,Seltos,1.8,Diesel,1990,233362,1193,Indiranagar
Pooja Deshmukh,Kia,Baleno,1,Diesel,2002,139664,4244,Koramangala
Divya Mehta,Mahindra,Creta,1.8,Diesel,2002,208875,2657,Basavanagudi
Pooja Joshi,Kia,Harrier,1,Hybrid,2007,144373,6766,Malleswaram
Aishwarya Gupta,Maruti,Creta,1,Diesel,2013,85546,9407,Rajajinagar
Ravi Joshi,Toyota,Innova,1.4,Petrol,2003,155978,4686,Rajajinagar
Ajay Mishra,Mahindra,Swift,1.2,Petrol,1999,176436,1843,Hebbal
Pooja Kumar,Hyundai,Swift,1.6,Diesel,1986,149734,1703,Jayanagar
Kiran Sharma,Maruti,Creta,1.4,Hybrid,1990,148392,1919,Indiranagar
Priya Reddy,Toyota,Harrier,1,Petrol,1999,92942,4723,Rajajinagar
Ajay Gupta,Hyundai,Seltos,1.4,Petrol,2019,8879,30062,Rajajinagar
Ananya Verma,Honda,City,1.2,Petrol,2017,27306,18563,HSR Layout
Meera Dutta,Honda,Nexon,1,Petrol,2006,42732,7244,Indiranagar
Meera Nair,Mahindra,Nexon,1.4,Petrol,1992,156242,1479,Rajajinagar
Aishwarya Nair,Kia,Seltos,1.4,Diesel,2017,42242,22891,Koramangala
Divya Verma,Tata,City,1.8,Hybrid,2021,12725,66532,Indiranagar
Suresh Choudhary,Toyota,Thar,2,Diesel,2005,70230,14191,Whitefield
Ajay Krishnan,Toyota,Swift,2.4,Hybrid,1992,193009,3008,Koramangala
Shalini Sharma,Kia,Innova,4.4,Petrol,2005,87584,30554,Koramangala
Divya Pillai,Mahindra,Innova,1.4,Diesel,1991,194468,1593,Whitefield
Manoj Pillai,Mahindra,Creta,1.8,Diesel,2017,26203,35529,Basavanagudi
Manoj Joshi,Tata,Nexon,1,Petrol,1995,282794,505,Yelahanka
Ananya Nair,Maruti,Thar,2,Diesel,2018,11528,43379,Jayanagar
Arjun Krishnan,Mahindra,i20,1.4,Petrol,2017,44863,25544,Indiranagar
Aishwarya Patel,Toyota,Harrier,1.2,Petrol,2008,73944,7422,Malleswaram
Kavya Singh,Kia,i20,1,Diesel,1991,154929,1274,Hebbal
Suresh Iyer,Hyundai,Thar,1.4,Petrol,2007,132172,4886,Jayanagar
Ananya Krishnan,Honda,Harrier,1.8,Diesel,2020,16964,45674,Indiranagar
Deepak Gupta,Tata,Harrier,2,Diesel,1992,166024,2459,HSR Layout
Suresh Gupta,Tata,Innova,4.4,Petrol,1992,258950,3049,Koramangala
Neha Mishra,Kia,Seltos,1.4,Diesel,2008,69696,12444,Basavanagudi
Aishwarya Verma,Mahindra,Seltos,1.4,Diesel,2001,65028,8123,Hebbal
Aishwarya Deshmukh,Tata,Seltos,1.4,Petrol,2020,13963,25684,Yelahanka
Vivek Verma,Maruti,Seltos,1.4,Diesel,2006,98404,6366,Yelahanka
Arjun Verma,Mahindra,Thar,1.2,Petrol,2007,81746,6582,Basavanagudi
Pooja Bhatia,Tata,Harrier,1.6,Petrol,2007,103556,9426,Rajajinagar
Suresh Gupta,Tata,i20,2.4,Diesel,2010,115635,15673,Whitefield
Neha Iyer,Tata,Baleno,1.6,Diesel,2004,97343,8403,Indiranagar
Neha Rao,Maruti,Nexon,2,Petrol,2005,113435,6064,Koramangala
Ravi Nair,Mahindra,Seltos,1.4,Hybrid,2014,72119,16824,Basavanagudi
Aishwarya Deshmukh,Hyundai,Swift,1,Hybrid,2019,13695,28257,Indiranagar
Kiran Kumar,Mahindra,Baleno,1.6,Diesel,2000,123318,5296,Malleswaram
Manoj Mehta,Maruti,Thar,1.4,Petrol,1987,252212,553,Hebbal
Arjun Bhatia,Mahindra,Swift,1.4,Petrol,2000,226334,1407,Malleswaram
Pooja Kumar,Toyota,Creta,2,Hybrid,1995,193171,3349,Yelahanka
Shalini Joshi,Maruti,Seltos,2.2,Hybrid,2018,31506,54259,Whitefield
Arjun Deshmukh,Maruti,Seltos,1.4,Petrol,2019,21734,23638,Rajajinagar
Priya Deshmukh,Toyota,Swift,1.4,Diesel,2018,29173,31459,Basavanagudi
Kavya Sharma,Hyundai,Swift,2.6,Diesel,2013,35791,46714,Yelahanka
Ananya Sharma,Toyota,City,1.4,Hybrid,2020,12575,35953,Whitefield
Ajay Dutta,Hyundai,Innova,1.4,Petrol,1998,186209,2483,Indiranagar
Arjun Mishra,Maruti,Harrier,1.8,Diesel,2012,83409,16777,Jayanagar
Priya Singh,Mahindra,Thar,1.8,Hybrid,2016,41043,34546,Indiranagar
Manoj Krishnan,Honda,i20,2,Petrol,2010,74726,19268,Basavanagudi
Sanjay Patel,Tata,Baleno,1.8,Diesel,1990,181148,1812,Koramangala
Vivek Rao,Tata,Innova,1,Petrol,2003,139679,3058,Basavanagudi
Neha Pillai,Hyundai,Nexon,2.4,Petrol,1988,113478,3500,Malleswaram
Kiran Nair,Hyundai,i20,3,Petrol,1986,156252,2323,Basavanagudi
Sneha Patel,Mahindra,Thar,1.4,Petrol,2005,121369,4775,Indiranagar
Pooja Bhatia,Kia,City,1.6,Diesel,2010,99029,12383,Indiranagar
Divya Dutta,Mahindra,Thar,1.2,Diesel,2002,145220,3734,Yelahanka
Aishwarya Bhatia,Kia,Thar,4,Petrol,2012,65511,36222,Malleswaram
Rohit Krishnan,Toyota,Innova,1.4,Petrol,2010,72919,13375,HSR Layout
Shalini Pillai,Honda,Seltos,1,Petrol,1986,360154,131,HSR Layout
Sanjay Verma,Hyundai,City,1.6,Diesel,2014,58714,21524,Jayanagar
Sneha Dutta,Toyota,Thar,1.4,Hybrid,2010,79667,12240,Yelahanka
Ajay Krishnan,Honda,City,1.2,Petrol,1997,139425,2192,Yelahanka
Meera Choudhary,Honda,Thar,1.4,Petrol,1990,229237,994,Basavanagudi
Deepak Krishnan,Toyota,Thar,1.6,Petrol,2005,81860,9637,Jayanagar
Shalini Bhatia,Maruti,Seltos,1.2,Petrol,1995,96295,2737,Jayanagar
Priya Verma,Toyota,Creta,2.6,Petrol,2001,178381,6987,Hebbal
Shalini Joshi,Hyundai,Seltos,1.6,Diesel,2000,176226,3439,HSR Layout
Sneha Verma,Tata,Harrier,1.8,Diesel,2015,50348,26937,Basavanagudi
Neha Singh,Honda,Nexon,1,Diesel,2007,55991,10858,Malleswaram
Meera Menon,Honda,Baleno,1,Diesel,2009,55834,12419,Hebbal
Deepak Mehta,Tata,Harrier,4.4,Petrol,1993,241300,3837,Indiranagar
Suresh Singh,Toyota,Nexon,3,Petrol,2004,134313,9214,Malleswaram
Ajay Nair,Hyundai,i20,1.4,Petrol,2018,38917,22601,Basavanagudi
Kiran Patel,Toyota,City,2,Diesel,2005,129953,7847,HSR Layout
Ajay Dutta,Maruti,Thar,1.2,Petrol,1996,224763,1141,Malleswaram
Ravi Krishnan,Kia,City,1.6,Petrol,2000,114459,3856,Indiranagar
Divya Choudhary,Honda,Nexon,2,Petrol,2014,49770,32369,HSR Layout
Sanjay Nair,Kia,Thar,1.4,Petrol,1991,176023,1699,Whitefield
Divya Krishnan,Honda,Seltos,1.8,Hybrid,1991,229773,1755,Whitefield
Meera Verma,Tata,City,1.8,Hybrid,2004,89988,11251,Indiranagar
Suresh Dutta,Maruti,Creta,2,Hybrid,2010,94703,16327,Hebbal
Priya Reddy,Mahindra,i20,1.2,Diesel,2018,24015,25189,Basavanagudi
Manoj Iyer,Maruti,Baleno,2.2,Hybrid,2011,48269,30778,Malleswaram
Priya Rao,Hyundai,i20,1.4,Hybrid,1994,207022,1974,Basavanagudi
Arjun Patel,Maruti,Swift,2.2,Petrol,2017,47287,34819,Yelahanka
Ravi Kumar,Kia,i20,1.6,Diesel,1992,132477,2892,Yelahanka
Aishwarya Patel,Mahindra,Seltos,1,Petrol,1992,81943,2555,Koramangala
Manoj Verma,Tata,i20,1.6,Diesel,2003,128417,6217,Koramangala
Vivek Patel,Toyota,Swift,1.2,Petrol,2005,67041,7369,Indiranagar
Ajay Kumar,Maruti,Harrier,1.2,Petrol,2007,64934,7373,Malleswaram
Priya Singh,Maruti,Swift,2,Hybrid,2000,103375,9690,Malleswaram
Priya Sharma,Kia,Seltos,2.2,Petrol,2006,108357,11013,Jayanagar
Rohit Deshmukh,Maruti,City,1,Petrol,2009,20356,14602,Hebbal
Priya Choudhary,Hyundai,Swift,2,Diesel,2013,44392,25779,Malleswaram
Sneha Kumar,Maruti,Seltos,2.4,Diesel,1990,130032,3696,Whitefield
Priya Verma,Honda,Swift,1.4,Petrol,1996,183090,1875,Koramangala
Sanjay Kumar,Tata,Nexon,1.6,Petrol,2014,82005,14735,Indiranagar
Vivek Menon,Kia,Baleno,1.2,Petrol,2009,124771,6671,Koramangala
Divya Rao,Hyundai,Baleno,1.4,Petrol,2004,104399,4948,Hebbal
Kiran Mehta,Toyota,Baleno,2.4,Petrol,1999,102910,7510,Koramangala
Shalini Rao,Mahindra,City,1.4,Petrol,2022,8163,30259,HSR Layout
Aishwarya Choudhary,Mahindra,Baleno,1.8,Petrol,2015,39918,25880,Rajajinagar
Sanjay Rao,Tata,Seltos,1.4,Petrol,1995,212324,1357,HSR Layout
Vivek Deshmukh,Hyundai,Innova,1.8,Petrol,2020,12832,51838,Rajajinagar
Sneha Mishra,Hyundai,i20,1.4,Petrol,1989,173718,1073,Malleswaram
Sneha Patel,Tata,Nexon,3.5,Diesel,1997,76704,14376,Jayanagar
Ananya Menon,Toyota,Swift,1.6,Hybrid,1996,91408,4984,Hebbal
Ajay Sharma,Honda,i20,2,Petrol,2001,114671,5460,Basavanagudi
Meera Patel,Kia,Swift,2,Diesel,2001,96551,9048,Indiranagar
Rohit Kumar,Honda,City,1.6,Petrol,2011,109128,9918,Indiranagar
Meera Dutta,Toyota,i20,1,Hybrid,2014,35632,23271,HSR Layout
Shalini Iyer,Hyundai,Innova,1.4,Hybrid,2014,59707,22655,Yelahanka
Kiran Mishra,Kia,Swift,2,Petrol,2009,146592,9025,Malleswaram
Rohit Kumar,Tata,Creta,1,Petrol,2018,26368,17744,Hebbal
Ananya Reddy,Honda,Swift,1.4,Petrol,1991,277145,682,Koramangala
Deepak Kumar,Toyota,i20,2.4,Petrol,2015,34036,34463,HSR Layout
Kavya Iyer,Maruti,City,2.4,Petrol,2000,143294,7104,Rajajinagar
Arjun Dutta,Hyundai,Nexon,1.6,Diesel,2003,102617,7634,Koramangala
Kiran Nair,Mahindra,Baleno,1,Petrol,1995,262067,866,Rajajinagar
Aishwarya Rao,Toyota,i20,2.4,Hybrid,2013,83008,29225,Whitefield
Shalini Iyer,Honda,City,1.8,Petrol,1988,226742,1231,Koramangala
Sanjay Dutta,Kia,Thar,1.6,Hybrid,2016,46140,25550,Yelahanka
Divya Bhatia,Honda,i20,4,Petrol,1993,165717,5661,Indiranagar
Meera Iyer,Mahindra,i20,1.8,Diesel,2016,12276,33955,Rajajinagar
Manoj Patel,Honda,Swift,1.8,Hybrid,2010,45382,26511,Koramangala
Deepak Kumar,Hyundai,Harrier,1,Petrol,1997,13000,4832,HSR Layout
Arjun Gupta,Tata,i20,1,Petrol,2006,48795,10121,Hebbal
Neha Patel,Hyundai,Creta,1.2,Petrol,2005,115358,4510,Indiranagar
Ananya Joshi,Tata,Swift,1.4,Petrol,2002,111925,4093,Yelahanka
Neha Kumar,Maruti,Swift,2,Petrol,2019,9249,42304,Hebbal
Ravi Kumar,Maruti,Nexon,1.6,Hybrid,1987,237660,958,Yelahanka
Ravi Nair,Toyota,i20,1.6,Petrol,2022,3662,40323,Indiranagar
Shalini Patel,Tata,Creta,2.4,Diesel,2007,182103,7469,Malleswaram
Vivek Reddy,Toyota,Baleno,2.4,Petrol,2019,23987,52689,Jayanagar
Ajay Mehta,Mahindra,Seltos,1.8,Petrol,2017,35271,25768,Hebbal
Aishwarya Verma,Toyota,Swift,1.2,Hybrid,2003,71574,6484,Yelahanka
Shalini Kumar,Hyundai,Innova,2.4,Hybrid,1991,297707,1076,Hebbal
Kiran Pillai,Kia,Thar,1.6,Diesel,2010,96123,13362,Indiranagar
Divya Bhatia,Honda,i20,1.4,Hybrid,2003,103665,6466,Whitefield
Deepak Iyer,Kia,Harrier,2.4,Petrol,1990,145070,2973,HSR Layout
Suresh Gupta,Mahindra,City,1.6,Diesel,1995,116332,4004,Yelahanka
Aishwarya Dutta,Hyundai,Creta,4.4,Petrol,2001,145066,15114,Whitefield
Kiran Joshi,Mahindra,City,1.6,Diesel,2020,11006,35670,Basavanagudi
Sanjay Dutta,Tata,Baleno,1.2,Petrol,1992,201394,955,Yelahanka
Ananya Rao,Tata,Nexon,1.6,Diesel,1985,210690,944,Rajajinagar
Suresh Menon,Kia,Harrier,1.4,Diesel,2022,6674,46427,Malleswaram
Rohit Singh,Toyota,City,1.4,Hybrid,2015,47040,18256,Whitefield
Ajay Choudhary,Maruti,Thar,1.2,Petrol,1989,151688,1164,Indiranagar
Ravi Krishnan,Honda,Baleno,1.8,Hybrid,2003,107902,10857,Koramangala
Deepak Mehta,Honda,Seltos,1.6,Diesel,2020,19318,40239,Yelahanka
Deepak Verma,Kia,Seltos,1.6,Diesel,2021,4868,46438,Indiranagar
Rohit Verma,Kia,Swift,1.2,Petrol,2018,28802,19170,Jayanagar
Rohit Kumar,Tata,Harrier,4,Petrol,2006,105672,18321,Basavanagudi
Ananya Singh,Hyundai,Seltos,1.8,Hybrid,2005,119458,11366,HSR Layout
Kiran Deshmukh,Hyundai,Harrier,1.6,Diesel,1990,326978,466,Whitefield
Sneha Gupta,Mahindra,City,4.4,Petrol,1995,100886,14255,Hebbal
Pooja Dutta,Kia,Seltos,1,Petrol,2000,129692,3057,Indiranagar
Divya Verma,Toyota,Harrier,1.8,Hybrid,2011,99127,16799,Indiranagar
Ajay Singh,Maruti,City,1.4,Hybrid,1991,206409,1250,Yelahanka
Ravi Dutta,Mahindra,Swift,1,Hybrid,1996,146882,3184,Indiranagar
Pooja Sharma,Tata,Nexon,1,Petrol,2005,113761,4167,Whitefield
Suresh Menon,Honda,i20,1.4,Hybrid,2000,214847,2746,Koramangala
Meera Iyer,Honda,City,4,Petrol,2006,129112,15318,Hebbal
Meera Choudhary,Honda,City,1.8,Petrol,1990,242470,999,Rajajinagar
Sanjay Choudhary,Hyundai,i20,1.2,Petrol,2013,24633,17130,Indiranagar
Kiran Iyer,Honda,Baleno,1.6,Petrol,2015,8696,20761,Indiranagar
Deepak Rao,Kia,Thar,2.2,Hybrid,1999,130759,7715,Indiranagar
Rohit Bhatia,Hyundai,Swift,2,Diesel,2007,116646,11624,Yelahanka
Ananya Kumar,Mahindra,Thar,3,Petrol,1995,89247,7099,Indiranagar
Aishwarya Bhatia,Mahindra,City,1.6,Diesel,2004,93528,9126,Jayanagar
Pooja Dutta,Maruti,Harrier,1.8,Petrol,2007,104083,8366,Rajajinagar
Ravi Singh,Honda,Swift,1,Petrol,2000,95285,3423,Rajajinagar
Sanjay Kumar,Maruti,i20,1.8,Petrol,2010,80229,12119,Jayanagar
Arjun Iyer,Maruti,Harrier,3,Petrol,2003,133466,18512,Indiranagar
Arjun Gupta,Kia,Seltos,1,Petrol,1993,175092,1321,Rajajinagar
Divya Verma,Toyota,City,1.4,Hybrid,2021,12715,33166,Koramangala
Shalini Dutta,Toyota,Swift,1.4,Diesel,1989,260862,764,Basavanagudi
Kavya Kumar,Mahindra,Creta,2,Petrol,2011,65813,12682,Rajajinagar
Manoj Reddy,Mahindra,City,2,Petrol,1996,103419,4256,Whitefield
Pooja Dutta,Kia,Swift,2,Petrol,1994,193712,2129,Koramangala
Suresh Kumar,Tata,Innova,1.4,Petrol,2008,148591,5576,Jayanagar
Ananya Mishra,Honda,Swift,1.4,Petrol,2007,104353,6204,Indiranagar
Sanjay Sharma,Mahindra,Creta,1.2,Petrol,2001,28598,6179,Jayanagar
Sanjay Joshi,Kia,City,5,Petrol,2002,146657,17001,Yelahanka
Divya Choudhary,Honda,Creta,1.6,Diesel,2012,78601,16353,Indiranagar
Deepak Joshi,Mahindra,Seltos,2,Petrol,1995,149622,2778,Hebbal
Pooja Verma,Kia,Innova,1,Diesel,2013,58543,15936,HSR Layout
Rohit Pillai,Toyota,Thar,1.8,Petrol,2014,73064,24136,Hebbal
Kavya Krishnan,Hyundai,City,2,Petrol,2003,84154,12386,Rajajinagar
Kiran Choudhary,Honda,Nexon,1.2,Petrol,1992,124753,1763,Jayanagar
Meera Menon,Hyundai,Thar,1.8,Hybrid,1993,214064,1966,Rajajinagar
Kiran Krishnan,Hyundai,Creta,1.4,Diesel,1985,186831,1141,Rajajinagar
Ananya Reddy,Honda,Baleno,1.8,Petrol,1995,131511,3048,Whitefield
Sanjay Mehta,Maruti,Swift,1.4,Petrol,2018,16595,22162,Indiranagar
Ravi Sharma,Honda,Harrier,1,Hybrid,2018,11537,34761,Yelahanka
Meera Gupta,Mahindra,i20,1,Petrol,2017,22410,19652,Hebbal
Aishwarya Iyer,Mahindra,Innova,2.4,Hybrid,1999,154630,6647,Malleswaram
Aishwarya Pillai,Kia,Seltos,2,Hybrid,2005,68946,11857,Rajajinagar
Aishwarya Verma,Tata,Baleno,1.2,Petrol,2013,59029,11430,Rajajinagar
Ananya Mehta,Mahindra,Baleno,1.2,Hybrid,1999,221693,1720,Yelahanka
Manoj Rao,Kia,Seltos,1.6,Diesel,2008,75056,12832,Basavanagudi
Aishwarya Deshmukh,Hyundai,i20,1.2,Hybrid,2016,69481,18115,Koramangala
Sneha Patel,Honda,i20,1.4,Diesel,2013,55053,19105,HSR Layout
Meera Iyer,Toyota,Innova,1.4,Petrol,1989,195700,865,Hebbal
Shalini Mishra,Tata,Nexon,1,Hybrid,1994,23757,6566,HSR Layout
Neha Nair,Honda,Seltos,2.2,Petrol,1992,245440,1498,Jayanagar
Sanjay Deshmukh,Kia,City,1,Petrol,1996,232748,859,Koramangala
Suresh Choudhary,Hyundai,i20,1.4,Diesel,2006,146548,6146,Whitefield
Kiran Iyer,Tata,City,1,Hybrid,2000,126367,4896,Malleswaram
Neha Choudhary,Honda,Thar,1.6,Diesel,1998,134364,4250,HSR Layout
Deepak Krishnan,Hyundai,Creta,2,Petrol,2006,113522,11167,Hebbal
Kiran Reddy,Kia,i20,1,Petrol,2008,54443,7901,Jayanagar
Aishwarya Iyer,Honda,Harrier,1.2,Hybrid,2013,45460,17294,Hebbal
Deepak Gupta,Maruti,Swift,1.4,Petrol,1999,182334,2192,Rajajinagar
Arjun Kumar,Tata,Harrier,1.4,Petrol,2005,122477,5618,Malleswaram
Suresh Gupta,Maruti,City,1.6,Diesel,2017,37971,21155,Yelahanka
Ravi Dutta,Kia,Harrier,1,Hybrid,1995,140762,3130,Yelahanka
Rohit Singh,Maruti,City,1,Hybrid,2004,73740,9387,Malleswaram
Ravi Dutta,Toyota,Innova,1.8,Petrol,1990,237752,1043,Yelahanka
Kavya Pillai,Honda,i20,1,Petrol,2009,115503,5369,Whitefield
Meera Patel,Tata,Innova,1,Petrol,2005,90093,7190,Malleswaram
Vivek Pillai,Toyota,Creta,1.4,Diesel,2001,75081,6380,Basavanagudi
Ajay Joshi,Hyundai,i20,4,Petrol,2010,84251,27914,Hebbal
Ananya Patel,Hyundai,Nexon,1.2,Petrol,2011,76232,10871,Indiranagar
Kiran Nair,Mahindra,Baleno,2,Diesel,1993,104479,5008,HSR Layout
Aishwarya Rao,Toyota,Thar,1.2,Hybrid,1989,286350,485,Malleswaram
Kavya Bhatia,Hyundai,Thar,2.2,Hybrid,1991,233629,1874,Malleswaram
Kiran Krishnan,Honda,City,1.8,Petrol,2004,145211,5926,Jayanagar
Meera Dutta,Mahindra,Seltos,2,Hybrid,2010,61566,20492,Rajajinagar
Manoj Verma,Tata,Seltos,1.2,Petrol,1997,224715,1284,Koramangala
Suresh Verma,Hyundai,Baleno,1,Petrol,1989,269871,431,Basavanagudi
Kiran Mehta,Hyundai,Seltos,1.6,Petrol,1997,215049,1908,Koramangala
Sneha Deshmukh,Tata,Baleno,1.6,Diesel,1996,155069,3175,Basavanagudi
Neha Mehta,Hyundai,Innova,1.6,Diesel,1998,106226,5277,Yelahanka
Sneha Mishra,Tata,Harrier,1.6,Petrol,2004,76364,6627,Koramangala
Vivek Singh,Maruti,Nexon,1.6,Diesel,2001,162737,4119,Jayanagar
Arjun Menon,Mahindra,Harrier,2,Hybrid,1994,170503,3808,Malleswaram
Pooja Singh,Hyundai,Innova,2,Hybrid,1997,95507,5784,Jayanagar
Ananya Pillai,Honda,Seltos,2.4,Petrol,1996,119225,5711,Whitefield
Deepak Verma,Mahindra,Seltos,2,Diesel,1990,124271,3188,Whitefield
Manoj Verma,Toyota,i20,1,Hybrid,1994,273923,695,Koramangala
Kavya Patel,Tata,i20,1,Hybrid,2016,56594,23383,Hebbal
Neha Patel,Toyota,Nexon,1.6,Diesel,2006,133714,7283,Koramangala
Ajay Menon,Mahindra,Thar,1.6,Diesel,2003,135888,4968,Jayanagar
Manoj Krishnan,Mahindra,i20,1.4,Diesel,2010,59187,16095,Koramangala
Pooja Patel,Tata,Thar,1,Petrol,2020,27181,23368,Malleswaram
Ananya Bhatia,Toyota,Nexon,2.4,Hybrid,1992,128064,5161,Hebbal
Shalini Nair,Tata,Nexon,1.4,Petrol,2003,116752,4218,Yelahanka
Suresh Nair,Honda,Creta,2,Diesel,2006,126771,8599,Whitefield
Sanjay Joshi,Kia,Seltos,1.8,Diesel,2004,102322,8674,Whitefield
Rohit Verma,Toyota,Seltos,1.6,Diesel,2001,242564,2057,Yelahanka
Shalini Deshmukh,Tata,Nexon,1.8,Petrol,2007,92630,10825,Koramangala
Ananya Menon,Maruti,i20,2,Diesel,2008,124301,10583,HSR Layout
Priya Patel,Mahindra,Seltos,3,Diesel,2019,30736,56535,HSR Layout
Manoj Verma,Tata,Nexon,1.4,Petrol,2000,190250,1939,Jayanagar
Neha Menon,Honda,Seltos,1.6,Diesel,2003,110038,7224,Basavanagudi
Deepak Verma,Hyundai,Innova,1,Petrol,1999,159002,1949,Hebbal
Sneha Mishra,Toyota,Nexon,1.6,Petrol,2010,36877,12716,Hebbal
Shalini Menon,Tata,City,1.2,Petrol,2004,79291,5481,Jayanagar
Suresh Dutta,Kia,Thar,2.2,Hybrid,1996,81189,9123,Koramangala
Divya Krishnan,Mahindra,Nexon,1,Petrol,2006,74564,5905,Koramangala
Aishwarya Menon,Mahindra,Harrier,2.2,Petrol,2005,133481,8490,Hebbal
Pooja Singh,Kia,Innova,2.6,Petrol,2013,42804,63561,Malleswaram
Rohit Pillai,Hyundai,City,1.8,Petrol,1991,190353,1430,Indiranagar
Sneha Dutta,Hyundai,Creta,1,Petrol,1996,170952,2093,HSR Layout
Kiran Reddy,Toyota,i20,1.8,Hybrid,1985,330025,390,Yelahanka
Kavya Iyer,Toyota,Thar,1.4,Petrol,2001,228627,1473,Koramangala
Shalini Krishnan,Honda,Innova,1.4,Diesel,2012,70430,17082,Koramangala
Sanjay Pillai,Hyundai,Swift,1.4,Diesel,2002,41568,9974,Hebbal
